0	147
1	120
2	130
3	143
4	136
5	129
6	124
7	129
8	134
9	139
10	122
11	128
12	144
13	138
14	128
15	139
16	144
17	130
18	131
19	121
20	126
21	126
22	106
23	97
24	89
25	80
26	82
27	75
28	73
29	70
30	62
31	58
32	53
33	55
34	60
35	55
36	62
37	51
38	43
39	41
40	36
41	38
42	24
43	28
44	26
45	23
46	26
47	23
48	19
49	18
50	17
51	16
52	18
53	16
54	15
55	13
56	20
57	12
58	16
59	9
60	11
61	11
62	14
63	11
64	10
65	12
66	10
67	8
68	5
69	5
70	8
71	10
72	7
73	6
74	4
75	3
76	3
77	2
78	2
79	1
80	1
81	1
82	1
83	0
