0	98	1
1	110	1
2	137	3
3	171	7
4	203	13
5	244	20
6	272	26
7	321	33
8	375	51
9	422	64
10	483	76
11	554	88
12	608	103
13	660	120
14	728	136
15	802	149
16	876	170
17	932	196
18	994	225
19	1083	245
20	1146	273
21	1187	295
22	1224	324
23	1242	361
24	1278	385
25	1297	413
26	1326	437
27	1357	464
28	1360	500
29	1371	527
30	1340	575
31	1343	602
32	1330	634
33	1316	668
34	1300	699
35	1266	743
36	1245	778
37	1222	808
38	1202	836
39	1184	863
40	1165	887
41	1138	916
42	1109	949
43	1082	978
44	1059	1002
45	1037	1025
46	1005	1058
47	984	1080
48	954	1110
49	934	1130
50	914	1151
51	901	1166
52	877	1190
53	853	1215
54	831	1237
55	812	1256
56	788	1280
57	775	1293
58	763	1306
59	735	1334
60	721	1348
61	698	1371
62	690	1379
63	674	1396
64	658	1412
65	642	1428
66	626	1444
67	617	1453
68	603	1467
69	587	1483
70	571	1499
71	562	1508
72	553	1517
73	537	1533
74	519	1551
75	513	1557
76	505	1565
77	489	1581
78	477	1593
79	464	1606
80	455	1615
81	446	1624
82	436	1634
83	429	1641
84	414	1656
85	405	1665
86	400	1670
87	393	1677
88	386	1684
89	376	1694
90	362	1708
91	350	1720
92	345	1725
93	339	1731
94	331	1739
95	321	1749
96	311	1759
97	298	1772
98	289	1781
99	283	1787
100	275	1795
101	265	1805
102	258	1812
103	253	1817
104	247	1823
105	243	1827
106	241	1829
107	238	1832
108	231	1839
109	225	1845
110	219	1851
111	210	1860
112	207	1863
113	205	1865
114	202	1868
115	199	1871
116	191	1879
117	184	1886
118	178	1892
119	175	1895
120	169	1901
121	164	1906
122	159	1911
123	150	1920
124	148	1922
125	143	1927
126	140	1930
127	138	1932
128	134	1936
129	132	1938
130	129	1941
131	127	1943
132	122	1948
133	119	1951
134	114	1956
135	113	1957
136	110	1960
137	108	1962
138	108	1962
139	105	1965
140	102	1968
141	99	1971
142	98	1972
143	94	1976
144	90	1980
145	89	1981
146	87	1983
147	86	1984
148	84	1986
149	82	1988
150	80	1990
151	78	1992
152	74	1996
153	70	2000
154	68	2002
155	67	2003
156	63	2007
157	59	2011
158	58	2012
159	56	2014
160	54	2016
161	54	2016
162	51	2019
163	49	2021
164	48	2022
165	46	2024
166	46	2024
167	46	2024
168	46	2024
169	45	2025
170	45	2025
171	45	2025
172	45	2025
173	44	2026
174	41	2029
175	39	2031
176	39	2031
177	37	2033
178	37	2033
179	35	2035
180	32	2038
181	29	2041
182	27	2043
183	27	2043
184	26	2044
185	26	2044
186	26	2044
187	26	2044
188	26	2044
189	26	2044
190	25	2045
191	24	2046
192	24	2046
193	24	2046
194	24	2046
195	24	2046
196	23	2047
197	22	2048
198	21	2049
199	20	2050
200	20	2050
201	20	2050
202	20	2050
203	20	2050
204	20	2050
205	19	2051
206	18	2052
207	15	2055
208	15	2055
209	15	2055
210	15	2055
211	15	2055
212	15	2055
213	14	2056
214	14	2056
215	14	2056
216	14	2056
217	13	2057
218	13	2057
219	13	2057
220	13	2057
221	13	2057
222	13	2057
223	11	2059
224	11	2059
225	11	2059
226	11	2059
227	11	2059
228	11	2059
229	10	2060
230	10	2060
231	10	2060
232	10	2060
233	10	2060
234	9	2061
235	9	2061
236	9	2061
237	9	2061
238	9	2061
239	9	2061
240	9	2061
241	9	2061
242	9	2061
243	9	2061
244	9	2061
245	8	2062
246	8	2062
247	8	2062
248	8	2062
249	8	2062
250	8	2062
251	8	2062
252	8	2062
253	8	2062
254	7	2063
255	7	2063
256	6	2064
257	6	2064
258	6	2064
259	6	2064
260	6	2064
261	6	2064
262	6	2064
263	6	2064
264	6	2064
265	6	2064
266	5	2065
267	5	2065
268	5	2065
269	5	2065
270	5	2065
271	5	2065
272	5	2065
273	5	2065
274	5	2065
275	5	2065
276	5	2065
277	5	2065
278	4	2066
279	4	2066
280	4	2066
281	4	2066
282	4	2066
283	4	2066
284	4	2066
285	4	2066
286	4	2066
287	4	2066
288	4	2066
289	4	2066
290	4	2066
291	4	2066
292	4	2066
293	3	2067
294	3	2067
295	3	2067
296	3	2067
297	3	2067
298	3	2067
299	3	2067
300	3	2067
301	2	2068
302	2	2068
303	2	2068
304	2	2068
305	2	2068
306	2	2068
307	2	2068
308	2	2068
309	2	2068
310	2	2068
311	2	2068
312	2	2068
313	2	2068
314	2	2068
315	2	2068
316	2	2068
317	2	2068
318	2	2068
319	2	2068
320	2	2068
321	1	2069
322	1	2069
323	1	2069
324	1	2069
325	1	2069
326	1	2069
327	1	2069
328	1	2069
329	1	2069
330	1	2069
331	1	2069
332	1	2069
333	1	2069
334	1	2069
335	1	2069
336	1	2069
337	1	2069
338	1	2069
339	1	2069
340	1	2069
341	1	2069
342	1	2069
343	1	2069
344	1	2069
345	1	2069
346	1	2069
347	0	2070
