0	167
1	139
2	158
3	150
4	157
5	164
6	173
7	161
8	175
9	159
10	150
11	169
12	188
13	184
14	181
15	176
16	163
17	179
18	181
19	163
20	150
21	148
22	153
23	143
24	137
25	128
26	114
27	125
28	119
29	122
30	119
31	108
32	110
33	107
34	96
35	93
36	97
37	93
38	89
39	93
40	83
41	79
42	82
43	71
44	76
45	71
46	72
47	80
48	58
49	60
50	57
51	47
52	46
53	55
54	55
55	48
56	52
57	43
58	46
59	49
60	44
61	50
62	39
63	40
64	32
65	36
66	32
67	27
68	24
69	25
70	20
71	22
72	27
73	26
74	15
75	12
76	13
77	11
78	8
79	9
80	9
81	4
82	6
83	8
84	8
85	8
86	11
87	8
88	9
89	5
90	7
91	12
92	9
93	9
94	9
95	7
96	7
97	7
98	6
99	5
100	4
