0	15967
1	15948
2	15926
3	15899
4	15865
5	15847
6	15827
7	15799
8	15772
9	15756
10	15727
11	15700
12	15670
13	15641
14	15617
15	15588
16	15559
17	15540
18	15518
19	15494
20	15478
21	15461
22	15442
23	15420
24	15402
25	15390
26	15374
27	15356
28	15341
29	15329
30	15306
31	15294
32	15286
33	15271
34	15260
35	15247
36	15237
37	15228
38	15222
39	15213
40	15203
41	15195
42	15188
43	15177
44	15167
45	15159
46	15156
47	15152
48	15147
49	15141
50	15138
51	15133
52	15129
53	15128
54	15127
55	15125
56	15125
57	15123
58	15122
59	15121
60	15118
61	15115
62	15115
63	15115
64	15114
65	15114
66	15114
67	15113
68	15112
69	15109
70	15109
71	15108
72	15106
73	15106
74	15105
75	15105
76	15105
77	15105
78	15105
79	15105
80	15104
81	15104
82	15104
83	15104
84	15104
85	15103
86	15103
87	15103
88	15103
89	15103
90	15102
91	15102
